Symptom,Symbol,Category_cl,EntrezID
C0028754,CPE,protein,1363
C0028754,CCDC71L,protein,168455
C0028754,GNPDA2,protein,132789
C0028754,MERTK,protein,10461
C0028754,FASN,protein,2194
C0028754,SLC15A3,protein,51296
C0028754,BAZ1B,protein,9031
C0028754,TPM3,protein,7170
C0028754,ZFP64,protein,55734
C0028754,HMGB1P1,protein,10357
C0028754,UMODL1,protein,89766
C0028754,PRPF3,protein,9129
C0028754,IL6,protein,3569
C0028754,DNAJC27,protein,51277
C0028754,PDE4D,protein,5144
C0028754,PMCH,protein,5367
C0028754,DEFB128,protein,245939
C0028754,TGFBI,protein,7045
C0028754,LEP,protein,3952
C0028754,DCXR,protein,51181
C0028754,IDH3B,protein,3420
C0028754,PRPH2,protein,5961
C0028754,AFF4,protein,27125
C0028754,TMEM229B,protein,161145
C0028754,BCHE,protein,590
C0028754,BLK,protein,640
C0028754,TMEM37,protein,140738
C0028754,BMP5,protein,653
C0028754,NEGR1,protein,257194
C0028754,CCDC80,protein,151887
C0028754,HTR2C,protein,3358
C0028754,SPRY2,protein,10253
C0028754,GALNT2,protein,2590
C0028754,APOE,protein,348
C0028754,ANKDD1A,protein,348094
C0028754,NTRK2,protein,4915
C0028754,DPYD,protein,1806
C0028754,FLII,protein,2314
C0028754,GLI2,protein,2736
C0028754,HSD11B1,protein,3290
C0028754,BICC1,protein,80114
C0028754,POMC,protein,5443
C0028754,HK2,protein,3099
C0028754,NTN4,protein,59277
C0028754,BBS9,protein,27241
C0028754,FBXL7,protein,23194
C0028754,USH2A,protein,7399
C0028754,PDE3B,protein,5140
C0028754,SUCLA2,protein,8803
C0028754,DMRT2,protein,10655
C0028754,RHOC,protein,389
C0028754,EFNB1,protein,1947
C0028754,TOPORS,protein,10210
C0028754,PACS1,protein,55690
C0028754,PFKFB3,protein,5209
C0028754,ICAM1,protein,3383
C0028754,PCSK1,protein,5122
C0028754,SDC3,protein,9672
C0028754,ARL2BP,protein,23568
C0028754,NPY5R,protein,4889
C0028754,FAAH,protein,2166
C0028754,PCSK2,protein,5126
C0028754,ALPK3,protein,57538
C0028754,ARG1,protein,383
C0028754,BDNF,protein,627
C0028754,GPC6,protein,10082
C0028754,VEGFA,protein,7422
C0028754,ACLY,protein,47
C0028754,TENM4,protein,26011
C0028754,CDH13,protein,1012
C0028754,IGLV2-14,protein,28815
C0028754,ACKR4,protein,51554
C0028754,TM7SF2,protein,7108
C0028754,CIDEA,protein,1149
C0028754,RGR,protein,5995
C0028754,RABL3,protein,285282
C0028754,SERPINE1,protein,5054
C0028754,PCDH9,protein,5101
C0028754,DGKG,protein,1608
C0028754,TMEM119,protein,338773
C0028754,GNB3,protein,2784
C0028754,PPP1R12B,protein,4660
C0028754,CYB5A,protein,1528
C0028754,APP,protein,351
C0028754,PRKAR2B,protein,5577
C0028754,MKKS,protein,8195
C0028754,ME1,protein,4199
C0028754,RPE65,protein,6121
C0028754,PRKCH,protein,5583
C0028754,STS,protein,412
C0028754,MAP2K5,protein,5607
C0028754,CYCS,protein,54205
C0028754,IFI16,protein,3428
C0028754,TF,protein,7018
C0028754,RBP3,protein,5949
C0028754,DPCD,protein,25911
C0028754,CNGB1,protein,1258
C0028754,CTSS,protein,1520
C0028754,SUCLG2,protein,8801
C0028754,BLOC1S2,protein,282991
C0028754,PDLIM2,protein,64236
C0028754,NPBWR1,protein,2831
C0028754,HRH2,protein,3274
C0028754,SIM1,protein,6492
C0028754,CA4,protein,762
C0028754,SH3BGRL3,protein,83442
C0028754,IGLL5,protein,100423062
C0028754,IFT172,protein,26160
C0028754,GPX1,protein,2876
C0028754,ATP12A,protein,479
C0028754,PDSS1,protein,23590
C0028754,PLIN1,protein,5346
C0028754,FTO,protein,79068
C0028754,CRP,protein,1401
C0028754,HMGCLL1,protein,54511
C0028754,DAB2,protein,1601
C0028754,SPP1,protein,6696
C0028754,CTCFL,protein,140690
C0028754,FAM89A,protein,375061
C0028754,SLC6A15,protein,55117
C0028754,SH2B1,protein,25970
C0028754,NINJ1,protein,4814
C0028754,DIO2,protein,1734
C0028754,COL6A1,protein,1291
C0028754,MRAP2,protein,112609
C0028754,UCP3,protein,7352
C0028754,CES1,protein,1066
C0028754,FGF21,protein,26291
C0028754,PTER,protein,9317
C0028754,SLC8A1,protein,6546
C0028754,NRXN3,protein,9369
C0028754,ZZZ3,protein,26009
C0028754,MC4R,protein,4160
C0028754,EPS8L3,protein,79574
C0028754,PRM1,protein,5619
C0028754,ADAM9,protein,8754
C0028754,AQP7,protein,364
C0028754,CPB2,protein,1361
C0028754,SMIM20,protein,389203
C0028754,LMNA,protein,4000
C0028754,SLC16A7,protein,9194
C0028754,CD248,protein,57124
C0028754,ATP2B1,protein,490
C0028754,TRIM32,protein,22954
C0028754,PTPN1,protein,5770
C0028754,SARS2,protein,54938
C0028754,APC2,protein,10297
C0028754,MAP4K4,protein,9448
C0028754,CLIP2,protein,7461
C0028754,TBCE,protein,6905
C0028754,ETV6,protein,2120
C0028754,CASP1,protein,834
C0028754,FGFR3,protein,2261
C0028754,AKR1C2,protein,1646
C0028754,NEIL1,protein,79661
C0028754,MPHOSPH6,protein,10200
C0028754,KLHL21,protein,9903
C0028754,MPZL1,protein,9019
C0028754,GIPR,protein,2696
C0028754,ARHGEF3,protein,50650
C0028754,UBR5,protein,51366
C0028754,MVB12B,protein,89853
C0028754,PPARD,protein,5467
C0028754,FOXE1,protein,2304
C0028754,RAB23,protein,51715
C0028754,PNISR,protein,25957
C0028754,RHO,protein,6010
C0028754,CTNNB1,protein,1499
C0028754,PLIN3,protein,10226
C0028754,NQO1,protein,1728
C0028754,LMCD1,protein,29995
C0028754,MYLK,protein,4638
C0028754,SLC38A3,protein,10991
C0028754,SOD1,protein,6647
C0028754,PHF6,protein,84295
C0028754,MROH5,protein,389690
C0028754,RP2,protein,6102
C0028754,KCTD15,protein,79047
C0028754,ALPK1,protein,80216
C0028754,ENPP1,protein,5167
C0028754,PRPF8,protein,10594
C0028754,COL5A2,protein,1290
C0028754,LEPR,protein,3953
C0028754,LINGO2,protein,158038
C0028754,AKAP1,protein,8165
C0028754,ITPR1,protein,3708
C0028754,COL4A1,protein,1282
C0028754,NYAP2,protein,57624
C0028754,PDE6A,protein,5145
C0028754,KCTD12,protein,115207
C0028754,TRPV1,protein,7442
C0028754,PDE6B,protein,5158
C0028754,NPY1R,protein,4886
C0028754,EIF2B5,protein,8893
C0028754,CPXM2,protein,119587
C0028754,AOAH,protein,313
C0028754,PCDH18,protein,54510
C0028754,H6PD,protein,9563
C0028754,HEATR5B,protein,54497
C0028754,CRX,protein,1406
C0028754,APOL1,protein,8542
C0028754,CYP2E1,protein,1571
C0028754,RNASE6,protein,6039
C0028754,ACACB,protein,32
C0028754,ABO,protein,28
C0028754,GH1,protein,2688
C0028754,MPEG1,protein,219972
C0028754,RB1CC1,protein,9821
C0028754,PPM1L,protein,151742
C0028754,TWIST1,protein,7291
C0028754,GALNT16,protein,57452
C0028754,DCC,protein,1630
C0028754,ANLN,protein,54443
C0028754,GPRC5B,protein,51704
C0028754,ADHFE1,protein,137872
C0028754,FOXO3,protein,2309
C0028754,PLEKHS1,protein,79949
C0028754,ACMSD,protein,130013
C0028754,ADCY3,protein,109
C0028754,ITIH5,protein,80760
C0028754,TBL2,protein,26608
C0028754,CEP72,protein,55722
C0028754,COX7C,protein,1350
C0028754,ATAD2B,protein,54454
C0028754,PYY,protein,5697
C0028754,TNFRSF1B,protein,7133
C0028754,GNG7,protein,2788
C0028754,DYNC1I1,protein,1780
C0028754,BDNF-AS,protein,497258
C0028754,ARHGAP11A,protein,9824
C0028754,PTEN,protein,5728
C0028754,TAPBP,protein,6892
C0028754,CUL4B,protein,8450
C0028754,NR2E3,protein,10002
C0028754,RPGR,protein,6103
C0028754,GTF2I,protein,2969
C0028754,ACP5,protein,54
C0028754,OSMR,protein,9180
C0028754,GPC5,protein,2262
C0028754,NDN,protein,4692
C0028754,INHBB,protein,3625
C0028754,ERICH5,protein,203111
C0028754,TBC1D1,protein,23216
C0028754,SHOX,protein,6473
C0028754,INS,protein,3630
C0028754,DBI,protein,1622
C0028754,CCDC33,protein,80125
C0028754,ZNF446,protein,55663
C0028754,C1QA,protein,712
C0028754,MTCH2,protein,23788
C0028754,TYROBP,protein,7305
C0028754,LPL,protein,4023
C0028754,ESR1,protein,2099
C0028754,SGCZ,protein,137868
C0028754,PLSCR4,protein,57088
C0028754,PRKAR1A,protein,5573
C0028754,SIPA1L1,protein,26037
C0028754,C9orf62,protein,157927
C0028754,XYLT1,protein,64131
C0028754,FMOD,protein,2331
C0028754,GNAS,protein,2778
C0028754,TAGLN2,protein,8407
C0028754,NCAM2,protein,4685
C0028754,OFD1,protein,8481
C0028754,MKRN3,protein,7681
C0028754,PROM1,protein,8842
C0028754,PRELP,protein,5549
C0028754,VSX1,protein,30813
C0028754,IGHA2,protein,3494
C0028754,NPHP1,protein,4867
C0028754,CARTPT,protein,9607
C0028754,GCH1,protein,2643
C0028754,SETD2,protein,29072
C0028754,UGT2B7,protein,7364
C0028754,MTHFD1,protein,4522
C0028754,BBS1,protein,582
C0028754,GPX3,protein,2878
C0028754,HERC2,protein,8924
C0028754,LIMK1,protein,3984
C0028754,GUCA1B,protein,2979
C0028754,FSCN2,protein,25794
C0028754,CYP7A1,protein,1581
C0028754,ACSL1,protein,2180
C0028754,SIN3A,protein,25942
C0028754,OTUD1,protein,220213
C0028754,ADRB3,protein,155
C0028754,TTYH3,protein,80727
C0028754,ICOS,protein,29851
C0028754,MMP9,protein,4318
C0028754,NHLH2,protein,4808
C0028754,MEGF8,protein,1954
C0028754,CCNL1,protein,57018
C0028754,RPTOR,protein,57521
C0028754,NUP188,protein,23511
C0028754,CD93,protein,22918
C0028754,NR0B2,protein,8431
C0028754,GPT2,protein,84706
C0028754,TTC28,protein,23331
C0028754,MKS1,protein,54903
C0028754,ERBB3,protein,2065
C0028754,SAT1,protein,6303
C0028754,PPARA,protein,5465
C0028754,PPARG,protein,5468
C0028754,ADNP,protein,23394
C0028754,ADH1B,protein,125
C0028756,ADIPOQ,protein,9370
C0028756,CCK,protein,885
C0028756,GCG,protein,2641
C0028756,MC4R,protein,4160
C0028756,FABP2,protein,2169
C0028756,PPARG,protein,5468
C0028756,INS,protein,3630
C0028756,SIM1,protein,6492
C0028756,CEP19,protein,84984
C0028756,LEPR,protein,3953
C0028756,ADRB3,protein,155
C0028756,HCRT,protein,3060
C0028756,LEP,protein,3952
C0028756,LPL,protein,4023
C0028756,PYY,protein,5697
C0028756,FTO,protein,79068
C0028756,CRP,protein,1401
C0028756,KCNMA1,protein,3778
C0028756,RETN,protein,56729
C0028756,MC3R,protein,4159
C0028756,GHRL,protein,51738
C0028756,BDNF,protein,627
C0028756,UCP3,protein,7352
C3203358,NDN,protein,4692
C3203358,PMPCA,protein,23203
C3203358,RET,protein,5979
C3203358,TH,protein,7054
C3203358,EVX1,protein,2128
C3203358,HERC2,protein,8924
C3203358,ASH1L,protein,55870
C3203358,TLX2,protein,3196
C3203358,PHOX2A,protein,401
C3203358,GDNF,protein,2668
C3203358,TRIM11,protein,81559
C3203358,MOGS,protein,7841
C3203358,KCNK5,protein,8645
C3203358,TLX3,protein,30012
C3203358,PHOX2B,protein,8929
C3203358,EDNRB,protein,1910
C3203358,MARK3,protein,4140
C3203358,EDN3,protein,1908
C3203358,MKRN3,protein,7681
C3203358,ASCL1,protein,429
C3203358,MAGEL2,protein,54551
C3203358,DBX1,protein,120237
C3203358,SNRPN,protein,6638
C3203358,BDNF,protein,627
C3203358,DMD,protein,1756
C3203358,ZNF202,protein,7753
C3203358,DCTN1,protein,1639
C3203358,MYO1H,protein,283446
C0031154,ITGAM,protein,3684
C0031154,MUC16,protein,94025
C0031154,LBP,protein,3929
C0031154,AQP1,protein,358
C0031154,F2,protein,2147
C0031154,TLR2,protein,7097
C0031154,IL6,protein,3569
C0031154,ALB,protein,213
C0031154,B2M,protein,567
C0031154,CXCL2,protein,2920
C0031154,MEFV,protein,4210
C0031154,ADA,protein,100
C0031154,CRP,protein,1401
C0031154,ICAM1,protein,3383
C0031154,IL1B,protein,3553
C0031154,CXCL8,protein,3576
C0031154,IL10,protein,3586
C0031154,TMEM67,protein,91147
C0031154,TNF,protein,7124
C0031154,CCL2,protein,6347
C0031154,MPO,protein,4353
C0000737,PIK3CA,protein,5290
C0000737,IL12A,protein,3592
C0000737,COX1,protein,4512
C0000737,OPLAH,protein,26873
C0000737,CTNNB1,protein,1499
C0000737,SDHC,protein,6391
C0000737,MLH1,protein,4292
C0000737,GNA11,protein,2767
C0000737,SOX10,protein,6663
C0000737,GLA,protein,2717
C0000737,CCR1,protein,1230
C0000737,MEFV,protein,4210
C0000737,MSH6,protein,2956
C0000737,TSC2,protein,7249
C0000737,FAS,protein,355
C0000737,COX2,protein,4513
C0000737,PMS1,protein,5378
C0000737,JAK2,protein,3717
C0000737,SLC40A1,protein,30061
C0000737,CASR,protein,846
C0000737,PIGT,protein,51604
C0000737,SERPING1,protein,710
C0000737,TLR4,protein,7099
C0000737,NME1,protein,4830
C0000737,HLA-DPB1,protein,3115
C0000737,KRAS,protein,3845
C0000737,TBL2,protein,26608
C0000737,SDHB,protein,6390
C0000737,KLRC4,protein,8302
C0000737,PPOX,protein,5498
C0000737,CLDN16,protein,10686
C0000737,PMS2,protein,5395
C0000737,DNASE1L3,protein,1776
C0000737,CTLA4,protein,1493
C0000737,STAT4,protein,6775
C0000737,MLYCD,protein,23417
C0000737,HLA-B,protein,3106
C0000737,IL10,protein,3586
C0000737,GTF2I,protein,2969
C0000737,REST,protein,5978
C0000737,NRTN,protein,4902
C0000737,TSC1,protein,7248
C0000737,FAN1,protein,22909
C0000737,ALAD,protein,210
C0000737,TGFBR2,protein,7048
C0000737,ELN,protein,2006
C0000737,TET2,protein,54790
C0000737,POLG,protein,5428
C0000737,MSH2,protein,4436
C0000737,GTF2IRD1,protein,9569
C0000737,ND1,protein,4535
C0000737,SPINK1,protein,6690
C0000737,CEL,protein,1056
C0000737,EPCAM,protein,4072
C0000737,TYMP,protein,1890
C0000737,IFNA2,protein,3440
C0000737,MLH3,protein,27030
C0000737,HMBS,protein,3145
C0000737,EDNRB,protein,1910
C0000737,C4A,protein,720
C0000737,ERAP1,protein,51752
C0000737,ALDOB,protein,229
C0000737,SEMA3C,protein,10512
C0000737,PTPN22,protein,26191
C0000737,SCARB2,protein,950
C0000737,ND6,protein,4541
C0000737,F5,protein,2153
C0000737,BRCA1,protein,672
C0000737,MVK,protein,4598
C0000737,PRTN3,protein,5657
C0000737,BAZ1B,protein,9031
C0000737,SDHD,protein,6392
C0000737,ABCA1,protein,19
C0000737,RFC2,protein,5982
C0000737,ECE1,protein,1889
C0000737,EPOR,protein,2057
C0000737,RET,protein,5979
C0000737,PRSS1,protein,5644
C0000737,WT1,protein,7490
C0000737,LIMK1,protein,3984
C0000737,COX3,protein,4514
C0000737,EWSR1,protein,2130
C0000737,POU6F2,protein,11281
C0000737,HPS1,protein,3257
C0000737,MPL,protein,4352
C0000737,STK11,protein,6794
C0000737,GHSR,protein,2693
C0000737,SMAD4,protein,4089
C0000737,EDN3,protein,1908
C0000737,CLIP2,protein,7461
C0000737,FSHR,protein,2492
C0000737,GBA,protein,2629
C0000737,APC,protein,324
C0000737,CPOX,protein,1371
C0000737,ND4,protein,4538
C0000737,ND5,protein,4540
C0000737,TNFRSF1A,protein,7132
C0000737,BMPR1A,protein,657
C0000737,GDNF,protein,2668
C0086565,ADIPOQ,protein,9370
C0086565,CYP2E1,protein,1571
C0086565,PNPLA3,protein,80339
C0086565,PRKCSH,protein,5589
C0086565,GGT1,protein,2678
C0086565,GOLM1,protein,51280
C0086565,HGF,protein,3082
C0086565,TF,protein,7018
C0086565,SLC25A13,protein,10165
C0086565,DDIT3,protein,1649
C0086565,SERPINA1,protein,5265
C0086565,SEPSECS,protein,51091
C0086565,F2,protein,2147
C0086565,SEC63,protein,11231
C0086565,ALB,protein,213
C0086565,ABCB11,protein,8647
C0086565,KRT18,protein,3875
C0086565,INS,protein,3630
C0086565,GANAB,protein,23193
C0086565,MEG3,protein,55384
C0086565,HFE,protein,3077
C0086565,FAH,protein,2184
C0086565,ABCB4,protein,5244
C0086565,CP,protein,1356
C0086565,SLC17A5,protein,26503
C0086565,HSD3B7,protein,80270
C0086565,ADIPOR2,protein,79602
C0086565,NR1H4,protein,9971
C0086565,LEP,protein,3952
C0086565,CYP3A4,protein,1576
C0086565,IFNA1,protein,3439
C0086565,GPT,protein,2875
C0086565,F3,protein,2152
C0086565,DLAT,protein,1737
C0086565,ATP8B1,protein,5205
C0086565,FAS,protein,355
C0086565,ABCB7,protein,22
C0086565,KRT8,protein,3856
C0086565,HADHA,protein,3030
C0086565,FECH,protein,2235
C0086565,TNF,protein,7124
C0086565,AFP,protein,174
C0086565,PPARA,protein,5465
C0019214,RNASEH2A,protein,10535
C0019214,STXBP2,protein,6813
C0019214,ABCA1,protein,19
C0019214,TREX1,protein,11277
C0019214,CSF3R,protein,1441
C0019214,PEX2,protein,5828
C0019214,SLC29A3,protein,55315
C0019214,STAT1,protein,6772
C0019214,TALDO1,protein,6888
C0019214,CA2,protein,760
C0019214,PSAP,protein,5660
C0019214,LPL,protein,4023
C0019214,IL2RA,protein,3559
C0019214,LIPA,protein,3988
C0019214,CLCN7,protein,1186
C0019214,TNFSF11,protein,8600
C0019214,LBR,protein,3930
C0019214,HEXB,protein,3074
C0019214,CAV1,protein,857
C0019214,IDUA,protein,3425
C0019214,COG2,protein,22796
C0019214,GBE1,protein,2632
C0235153,ECM1,protein,1893
C0235153,CTSH,protein,1512
C0235153,ARSA,protein,410
C0235153,BCKDHB,protein,594
C0235153,COX1,protein,4512
C0235153,BCS1L,protein,617
C0235153,TTC19,protein,54902
C0235153,PRNP,protein,5621
C0235153,COX3,protein,4514
C0235153,HLA-DQB1,protein,3119
C0235153,HLA-DRB1,protein,3123
C0235153,CYP27A1,protein,1593
C0235153,HCRT,protein,3060
C0235153,ND1,protein,4535
C0235153,BCKDHA,protein,593
C0235153,MOG,protein,4340
C0235153,ZNF365,protein,22891
C0235153,TBP,protein,6908
C0235153,DBT,protein,1629
C0235153,NDP,protein,4693
C0235153,HSD17B10,protein,3028
C0235153,SNCA,protein,6622
C0235153,GRN,protein,2896
C0235153,P2RY11,protein,5032
C0235153,ND6,protein,4541
C0235153,COX2,protein,4513
C0235153,TNFSF4,protein,7292
C0235153,DISC2,protein,27184
C0235153,ATP13A2,protein,23400
C0235153,CPOX,protein,1371
C0235153,ND4,protein,4538
C0235153,ND5,protein,4540
C0235153,ALDH5A1,protein,7915
C0235153,PPT1,protein,5538
C0018784,KCNQ4,protein,9132
C0018784,PAX3,protein,5077
C0018784,FOXI1,protein,2299
C0018784,FADD,protein,8772
C0018784,COL11A2,protein,1302
C0018784,NDUFAF1,protein,51103
C0018784,COL4A3,protein,1285
C0018784,COX1,protein,4512
C0018784,IGF1,protein,3479
C0018784,TYR,protein,7299
C0018784,NDUFS3,protein,4722
C0018784,TUB,protein,7275
C0018784,RP1,protein,6101
C0018784,SMCHD1,protein,23347
C0018784,POMGNT1,protein,55624
C0018784,BBS2,protein,583
C0018784,RAB23,protein,51715
C0018784,RHO,protein,6010
C0018784,NDUFA2,protein,4695
C0018784,NDUFV1,protein,4723
C0018784,RP2,protein,6102
C0018784,USH2A,protein,7399
C0018784,PTPN11,protein,5781
C0018784,CDH23,protein,64072
C0018784,PRPF8,protein,10594
C0018784,SUCLA2,protein,8803
C0018784,ACOX1,protein,51
C0018784,FGF3,protein,2248
C0018784,HARS2,protein,23438
C0018784,PEX16,protein,9409
C0018784,RPS6KA3,protein,6197
C0018784,EFNB1,protein,1947
C0018784,SOX10,protein,6663
C0018784,DIAPH1,protein,1729
C0018784,ENPP1,protein,5167
C0018784,LRP4,protein,4038
C0018784,TOPORS,protein,10210
C0018784,POLD1,protein,5424
C0018784,SDHA,protein,6389
C0018784,PHYH,protein,5264
C0018784,MOGS,protein,7841
C0018784,YAP1,protein,10413
C0018784,MAK,protein,4117
C0018784,KCNJ10,protein,3766
C0018784,CLPP,protein,8192
C0018784,NEU1,protein,4758
C0018784,NEK2,protein,4751
C0018784,PDE6A,protein,5145
C0018784,SAG,protein,6295
C0018784,NDUFV2,protein,4729
C0018784,ARL2BP,protein,23568
C0018784,NDP,protein,4693
C0018784,MPZ,protein,4359
C0018784,CNGA1,protein,1259
C0018784,CHN1,protein,1123
C0018784,MED12,protein,9968
C0018784,CRYM,protein,1428
C0018784,PRPS1,protein,5631
C0018784,ERCC1,protein,2067
C0018784,PDE6B,protein,5158
C0018784,ERCC6,protein,2074
C0018784,NDUFB3,protein,4709
C0018784,TBX22,protein,50945
C0018784,IFT140,protein,9742
C0018784,ACVR1,protein,90
C0018784,FAS,protein,355
C0018784,PEX11B,protein,8799
C0018784,COX2,protein,4513
C0018784,NDUFB9,protein,4715
C0018784,DLX5,protein,1749
C0018784,MLXIPL,protein,51085
C0018784,PEX12,protein,5193
C0018784,WFS1,protein,7466
C0018784,MYO6,protein,4646
C0018784,ERCC4,protein,2072
C0018784,IARS2,protein,55699
C0018784,DCDC2,protein,51473
C0018784,RPL10,protein,6134
C0018784,CRX,protein,1406
C0018784,LHX3,protein,8022
C0018784,NDUFA1,protein,4694
C0018784,USH1C,protein,10083
C0018784,DNAJC3,protein,5611
C0018784,PCNT,protein,5116
C0018784,GFER,protein,2671
C0018784,IRX5,protein,10265
C0018784,FRG1,protein,2483
C0018784,PEX2,protein,5828
C0018784,KMT2D,protein,8085
C0018784,TULP1,protein,7287
C0018784,RGR,protein,5995
C0018784,RAP1A,protein,5906
C0018784,PEX1,protein,5189
C0018784,ERCC5,protein,2073
C0018784,CLIC5,protein,53405
C0018784,HOXA11,protein,3207
C0018784,PEX26,protein,55670
C0018784,NDUFAF4,protein,29078
C0018784,MYH9,protein,4627
C0018784,PAX2,protein,5076
C0018784,CEP78,protein,84131
C0018784,DNMT1,protein,1786
C0018784,POU3F4,protein,5456
C0018784,NDUFAF3,protein,25915
C0018784,CLDN14,protein,23562
C0018784,SMC1A,protein,8243
C0018784,HOXA1,protein,3198
C0018784,BCAP31,protein,10134
C0018784,SURF1,protein,6834
C0018784,TBL2,protein,26608
C0018784,ATP6V1B1,protein,525
C0018784,PEX3,protein,8504
C0018784,FGFR1,protein,2260
C0018784,MAP3K7,protein,6885
C0018784,KITLG,protein,4254
C0018784,CLCNKA,protein,1187
C0018784,PEX5,protein,5830
C0018784,ROM1,protein,6094
C0018784,COX15,protein,1355
C0018784,BSND,protein,7809
C0018784,NDUFA9,protein,4704
C0018784,PTDSS1,protein,9791
C0018784,BCOR,protein,54880
C0018784,THRB,protein,7068
C0018784,ATP1A3,protein,478
C0018784,ATRX,protein,546
C0018784,ERCC8,protein,1161
C0018784,PMP22,protein,5376
C0018784,COCH,protein,1690
C0018784,BEST1,protein,7439
C0018784,TSPEAR,protein,54084
C0018784,PEX13,protein,5194
C0018784,ARHGDIA,protein,396
C0018784,COQ2,protein,27235
C0018784,KDM6A,protein,7403
C0018784,GATA3,protein,2625
C0018784,COL9A1,protein,1297
C0018784,RAD21,protein,5885
C0018784,COX10,protein,1352
C0018784,GJB2,protein,2706
C0018784,PEX6,protein,5190
C0018784,TMC1,protein,117531
C0018784,COL4A5,protein,1287
C0018784,KCNE1,protein,3753
C0018784,PEX10,protein,5192
C0018784,RPE65,protein,6121
C0018784,NR2E3,protein,10002
C0018784,GUCY2D,protein,3000
C0018784,SIX6,protein,4990
C0018784,GTF2I,protein,2969
C0018784,MAN2B1,protein,4125
C0018784,MYO15A,protein,51168
C0018784,MAFB,protein,9935
C0018784,SNAI2,protein,6591
C0018784,NDUFA10,protein,4705
C0018784,RPGR,protein,6103
C0018784,EYA4,protein,2070
C0018784,MEOX1,protein,4222
C0018784,LRAT,protein,9227
C0018784,SERPINB6,protein,5269
C0018784,LMX1B,protein,4010
C0018784,PTRH2,protein,51651
C0018784,NDUFS2,protein,4720
C0018784,SIX1,protein,6495
C0018784,CRB1,protein,23418
C0018784,GDF5,protein,8200
C0018784,RBP3,protein,5949
C0018784,PEX14,protein,5195
C0018784,SNAP29,protein,9342
C0018784,PDGFRB,protein,5159
C0018784,PRPF31,protein,26121
C0018784,CNGB1,protein,1258
C0018784,ATP6V1B2,protein,526
C0018784,PGM3,protein,5238
C0018784,XPC,protein,7508
C0018784,PRPF4,protein,9128
C0018784,SLC19A2,protein,10560
C0018784,COL11A1,protein,1301
C0018784,COX6B1,protein,1340
C0018784,IMPDH1,protein,3614
C0018784,MITF,protein,4286
C0018784,LRP2,protein,4036
C0018784,ELN,protein,2006
C0018784,SLC29A3,protein,55315
C0018784,MGAT2,protein,4247
C0018784,CA4,protein,762
C0018784,MAF,protein,4094
C0018784,IFT172,protein,26160
C0018784,NF2,protein,4771
C0018784,PEX19,protein,5824
C0018784,MAP2K1,protein,5604
C0018784,POLG,protein,5428
C0018784,S1PR2,protein,9294
C0018784,ND1,protein,4535
C0018784,RP9,protein,6100
C0018784,GTF2IRD1,protein,9569
C0018784,SOST,protein,50964
C0018784,TYMP,protein,1890
C0018784,NAGA,protein,4668
C0018784,VHL,protein,7428
C0018784,NDUFS1,protein,4719
C0018784,PNPLA6,protein,10908
C0018784,GALE,protein,2582
C0018784,LONP1,protein,9361
C0018784,SOX2,protein,6657
C0018784,MYO7A,protein,4647
C0018784,HSD17B10,protein,3028
C0018784,NDUFS4,protein,4724
C0018784,DCHS1,protein,8642
C0018784,EDNRB,protein,1910
C0018784,COL2A1,protein,1280
C0018784,DMP1,protein,1758
C0018784,ABCA4,protein,24
C0018784,ND6,protein,4541
C0018784,PTPN22,protein,26191
C0018784,PRPF6,protein,24148
C0018784,ACY1,protein,95
C0018784,OTOF,protein,9381
C0018784,DDB2,protein,1643
C0018784,OFD1,protein,8481
C0018784,LRP5,protein,4041
C0018784,SPTLC1,protein,10558
C0018784,PROM1,protein,8842
C0018784,ACTB,protein,60
C0018784,POGZ,protein,23126
C0018784,SMC3,protein,9126
C0018784,GMPPB,protein,29925
C0018784,XPA,protein,7507
C0018784,NIPBL,protein,25836
C0018784,CD151,protein,977
C0018784,IGBP1,protein,3476
C0018784,WHRN,protein,25861
C0018784,SCO1,protein,6341
C0018784,TACO1,protein,51204
C0018784,TNFRSF11B,protein,4982
C0018784,GJB3,protein,2707
C0018784,MERTK,protein,10461
C0018784,PIK3R1,protein,5295
C0018784,BTD,protein,686
C0018784,GJB6,protein,10804
C0018784,CLRN1,protein,7401
C0018784,BAZ1B,protein,9031
C0018784,ZMPSTE24,protein,10269
C0018784,BCS1L,protein,617
C0018784,RLBP1,protein,6017
C0018784,RAP1B,protein,5908
C0018784,PEX7,protein,5191
C0018784,ABHD12,protein,26090
C0018784,CIB2,protein,10518
C0018784,SNRNP200,protein,23020
C0018784,FOXC1,protein,2296
C0018784,NOG,protein,9241
C0018784,HSD17B4,protein,3295
C0018784,RFC2,protein,5982
C0018784,PRPF3,protein,9129
C0018784,OSBPL2,protein,9885
C0018784,MYO1A,protein,4640
C0018784,LIMK1,protein,3984
C0018784,BRAF,protein,673
C0018784,GUCA1B,protein,2979
C0018784,EYA1,protein,2138
C0018784,FSCN2,protein,25794
C0018784,COX3,protein,4514
C0018784,ESRRB,protein,2103
C0018784,FLNA,protein,2316
C0018784,ERCC3,protein,2071
C0018784,PDE6G,protein,5148
C0018784,NDUFS8,protein,4728
C0018784,GIPC3,protein,126326
C0018784,IDH3B,protein,3420
C0018784,COL9A2,protein,1298
C0018784,LMNA,protein,4000
C0018784,PRPH2,protein,5961
C0018784,COL9A3,protein,1299
C0018784,PRDM5,protein,11107
