node	type
U876	drug
U44	drug
U882	drug
U103	drug
U880	drug
U314	drug
U884	drug
U241	drug
U887	drug
U890	drug
U96	drug
U260	drug
U1025	drug
U891	drug
U98	drug
U895	drug
U894	drug
U897	drug
U898	drug
U900	drug
U903	drug
U902	drug
U901	drug
U906	drug
U905	drug
U908	drug
U909	drug
U911	drug
U912	drug
U913	drug
U918	drug
U915	drug
U914	drug
U921	drug
U920	drug
U922	drug
U363	drug
U340	drug
U919	drug
U968	drug
U101	drug
U923	drug
U102	drug
U929	drug
U924	drug
U930	drug
U928	drug
U925	drug
U926	drug
U927	drug
U931	drug
U182	drug
U932	drug
U934	drug
U935	drug
U571	drug
U937	drug
U941	drug
U938	drug
U942	drug
U945	drug
U944	drug
U939	drug
U104	drug
U950	drug
U6	drug
U885	drug
U947	drug
U951	drug
U952	drug
U955	drug
U956	drug
U953	drug
U958	drug
U963	drug
U964	drug
U961	drug
U959	drug
U110	drug
U962	drug
U967	drug
U966	drug
U970	drug
U971	drug
U107	drug
U973	drug
U977	drug
U151	drug
U974	drug
U108	drug
U983	drug
U984	drug
U982	drug
U985	drug
U7	drug
U988	drug
U989	drug
U990	drug
U991	drug
U112	drug
U998	drug
U994	drug
U308	drug
U113	drug
U996	drug
U1002	drug
U1007	drug
U1008	drug
U238	drug
U114	drug
U1013	drug
U1009	drug
U1015	drug
U116	drug
U1010	drug
U1004	drug
U1005	drug
U1012	drug
U161	drug
U1006	drug
U1022	drug
U115	drug
U1023	drug
U155	drug
U1026	drug
U1027	drug
U1031	drug
U1032	drug
U1034	drug
U1038	drug
U1039	drug
U1040	drug
U1041	drug
U1042	drug
U1043	drug
U121	drug
U168	drug
U196	drug
U10	drug
U201	drug
U899	drug
U118	drug
U124	drug
U122	drug
U335	drug
U119	drug
U125	drug
U11	drug
U126	drug
U120	drug
U12	drug
U127	drug
U129	drug
U128	drug
U619	drug
U131	drug
U134	drug
U132	drug
U133	drug
U135	drug
U136	drug
U8	drug
U138	drug
U140	drug
U143	drug
U144	drug
U145	drug
U147	drug
U148	drug
U149	drug
U150	drug
U159	drug
U160	drug
U3	drug
U157	drug
U158	drug
U162	drug
U164	drug
U163	drug
U165	drug
U166	drug
U170	drug
U171	drug
U172	drug
U173	drug
U175	drug
U177	drug
U178	drug
U179	drug
U180	drug
U1019	drug
U183	drug
U184	drug
U185	drug
U186	drug
U188	drug
U187	drug
U189	drug
U190	drug
U192	drug
U193	drug
U194	drug
U14	drug
U195	drug
U200	drug
U197	drug
U198	drug
U199	drug
U202	drug
U206	drug
U204	drug
U208	drug
U212	drug
U210	drug
U211	drug
U207	drug
U214	drug
U215	drug
U213	drug
U216	drug
U217	drug
U236	drug
U220	drug
U225	drug
U228	drug
U222	drug
U223	drug
U221	drug
U230	drug
U231	drug
U232	drug
U224	drug
U4	drug
U18	drug
U235	drug
U237	drug
U243	drug
U240	drug
U234	drug
U45	drug
U292	drug
U293	drug
U339	drug
U262	drug
U245	drug
U251	drug
U512	drug
U246	drug
U247	drug
U19	drug
U248	drug
U249	drug
U255	drug
U257	drug
U263	drug
U266	drug
U265	drug
U269	drug
U271	drug
U273	drug
U274	drug
U275	drug
U276	drug
U20	drug
U583	drug
U21	drug
U280	drug
U282	drug
U398	drug
U284	drug
U285	drug
U286	drug
U287	drug
U288	drug
U289	drug
U23	drug
U296	drug
U297	drug
U294	drug
U302	drug
U303	drug
U699	drug
U309	drug
U310	drug
U313	drug
U312	drug
U311	drug
U305	drug
U68	drug
U315	drug
U317	drug
U318	drug
U319	drug
U320	drug
U322	drug
U26	drug
U323	drug
U324	drug
U331	drug
U321	drug
U332	drug
U27	drug
U336	drug
U333	drug
U347	drug
U30	drug
U348	drug
U338	drug
U346	drug
U343	drug
U344	drug
U917	drug
U341	drug
U342	drug
U32	drug
U349	drug
U351	drug
U352	drug
U33	drug
U353	drug
U358	drug
U359	drug
U360	drug
U361	drug
U362	drug
U364	drug
U365	drug
U366	drug
U367	drug
U369	drug
U34	drug
U373	drug
U374	drug
C0022541	disease
C0023530	disease
C0002103	disease
C0035455	disease
C0009806	disease
C0011991	disease
C0021359	disease
C0014335	disease
C0003113	disease
C0026821	disease
C0036572	disease
C0011570	disease
C0001925	disease
C0033687	disease
C0020615	disease
C0032914	disease
C0338591	disease
C0700590	disease
C0019572	disease
C0006625	disease
C0027498	disease
C0018777	disease
C0015967	disease
C3552463	disease
C0023014	disease
C0015672	disease
C0271215	disease
C0028754	disease
C0028756	disease
C3203358	disease
C0031154	disease
C0000737	disease
C0086565	disease
C0019214	disease
C0235153	disease
C0018784	disease
C0020455	disease
C0020438	disease
C0020538	disease
C0751837	disease
C0009460	disease
C0151825	disease
C0162298	disease
C0086437	disease
C0003862	disease
C0152031	disease
C0035229	disease
C0231835	disease
C0013404	disease
C0476273	disease
C1145670	disease
C0009421	disease
C0026838	disease
C0026846	disease
C0151786	disease
C0015644	disease
C0026826	disease
C0013421	disease
C0027066	disease
C0542476	disease
C0751295	disease
C0002622	disease
C0234979	disease
C1838869	disease
C0003537	disease
C0917816	disease
C0221263	disease
C0010200	disease
C0178417	disease
C0231807	disease
C0162674	disease
C0427055	disease
C0476254	disease
C1963137	disease
C0231791	disease
C0005779	disease
C0042963	disease
C0237326	disease
C0016382	disease
C0151908	disease
C0085636	disease
C0022346	disease
C0033774	disease
C0034150	disease
C0015230	disease
C0155320	disease
C0018989	disease
C0022116	disease
C0018780	disease
C0032285	disease
C0026837	disease
C0427190	disease
C0152200	disease
C0231528	disease
C0746674	disease
C0240735	disease
C3668816	disease
C0002418	disease
C0009398	disease
C0700078	disease
C0270948	disease
C0035078	disease
