symptom1,symptom2,Similarity
C0022541,C0035229,0.77
C0022541,C0231835,0.714
C0022541,C0013404,0.728
C0022541,C0476273,0.714
C0022541,C1145670,0.77
C0022541,C0009421,0.745
C0022541,C0026838,0.726
C0022541,C0026846,0.743
C0022541,C0151786,0.72
C0022541,C0015644,0.743
C0022541,C0026826,0.726
C0022541,C0013421,0.72
C0022541,C0027066,0.737
C0022541,C0542476,0.754
C0022541,C0751295,0.754
C0022541,C0002622,0.758
C0022541,C0234979,0.745
C0022541,C1838869,0.744
C0022541,C0003537,0.749
C0022541,C0917816,0.674
C0022541,C0221263,0.75
C0022541,C0010200,0.748
C0022541,C0178417,0.723
C0022541,C0231807,0.751
C0022541,C0162674,0.859
C0022541,C0427055,0.759
C0022541,C0476254,0.744
C0022541,C1963137,0.737
C0022541,C0231791,0.723
C0022541,C0005779,0.736
C0022541,C0042963,0.724
C0022541,C0237326,0.719
C0022541,C0016382,0.74
C0022541,C0151908,0.723
C0022541,C0085636,0.731
C0022541,C0022346,0.716
C0022541,C0033774,0.73
C0022541,C0034150,0.758
C0022541,C0015230,0.735
C0022541,C0155320,0.703
C0022541,C0018989,0.75
C0022541,C0022116,0.751
C0022541,C0018780,0.731
C0022541,C0032285,0.773
C0022541,C0026837,0.739
C0022541,C0427190,0.725
C0022541,C0152200,0.695
C0022541,C0231528,0.749
C0022541,C0746674,0.752
C0022541,C0240735,0.75
C0022541,C3668816,0.738
C0022541,C0002418,0.729
C0022541,C0009398,0.739
C0022541,C0700078,0.737
C0022541,C0270948,0.733
C0021359,S214,0.748
C0021359,S215,0.711
C0021359,S216,0.726
C0021359,S217,0.705
C0021359,S22,0.738
C0021359,S221,0.705
C0021359,S234,0.721
C0021359,S244,0.733
C0021359,S246,0.674
C0021359,S25,0.73
C0021359,S252,0.75
C0021359,S260,0.746
C0021359,S27,0.736
C0021359,S273,0.723
C0021359,S279,0.752
C0021359,S282,0.74
C0021359,S286,0.729
C0021359,S291,0.751
C0021359,S294,0.714
C0021359,S297,0.739
C0021359,S299,0.737
C0021359,S30,0.744
C0021359,S300,0.748
C0021359,S306,0.747
C0021359,S309,0.681
C0021359,S313,0.738
C0021359,S314,0.742
C0021359,S318,0.746
C0021359,S321,0.73
C0021359,S325,0.715
C0021359,S327,0.717
C0021359,S33,0.768
C0021359,S330,0.744
C0021359,S333,0.738
C0021359,S334,0.724
C0021359,S335,0.755
C0021359,S343,0.727
C0021359,S345,0.745
C0021359,S346,0.718
C0021359,S349,0.741
C0021359,S350,0.744
C0021359,S355,0.753
C0021359,S358,0.727
C0021359,S359,0.737
C0021359,S360,0.759
C0021359,S363,0.747
C0021359,S368,0.735
C0021359,S375,0.731
C0021359,S38,0.715
C0021359,S380,0.75
C0021359,S387,0.708
C0021359,S388,0.74
C0021359,S389,0.683
C0021359,S39,0.739
C0021359,S397,0.729
C0021359,S398,0.744
C0021359,S404,0.736
C0021359,S408,0.722
C0021359,S410,0.744
C0021359,S411,0.748
C0021359,S418,0.708
C0021359,S42,0.74
C0021359,S420,0.739
C0021359,S422,0.721
C0021359,S428,0.701
C0021359,S430,0.697
C0021359,S431,0.67
C0021359,S437,0.726
C0021359,S44,0.743
C0021359,S443,0.741
C0021359,S444,0.743
C0021359,S445,0.741
C0021359,S446,0.739
C0021359,S447,0.741
C0021359,S449,0.786
C0021359,S456,0.739
C0021359,S462,0.748
C0021359,S463,0.737
C0021359,S464,0.746
C0021359,S466,0.744
C0021359,S475,0.706
C0021359,S476,0.706
C0021359,S477,0.706
C0021359,S478,0.74
C0021359,S479,0.715
C0021359,S48,0.762
C0021359,S483,0.751
C0021359,S497,0.743
C0021359,S498,0.67
C0021359,S499,0.74
C0021359,S500,0.741
C0021359,S501,0.745
C0021359,S502,0.733
C0021359,S503,0.732
C0021359,S62,0.717
C0021359,S64,0.745
C0021359,S65,0.743
C0021359,S66,0.76
