symptom1,symptom2,Similarity
C0032914,S215,0.847
C0700590,C0231528,0.866
C0700590,C0746674,0.844
C0700590,C0240735,0.806
C0700590,C3668816,0.765
C0700590,C0002418,0.783
C0700590,C0009398,0.752
C0700590,C0700078,0.855
C0700590,C0270948,0.871
C0700590,C0035078,0.858
C0700590,C1963154,0.857
C0700590,C0019825,0.793
C0700590,C0456909,0.846
C0700590,C0003635,0.861
C0700590,C0013595,0.785
C0700590,C0042798,0.863
C0700590,C0023380,0.806
C0700590,C0234144,0.799
C0700590,C0013604,0.864
C0700590,C0037315,0.831
C0700590,C0037317,0.82
C0700590,C0851578,0.797
C0700590,C0241210,0.851
C0700590,C0020305,0.735
C0700590,C0398650,0.794
C0700590,C1262477,0.894
C0700590,C0043094,0.867
C0700590,C1384666,0.863
C0700590,C1691779,0.752
C0700590,C0030193,0.864
C0700590,C0020429,0.875
C0700590,C1860844,0.866
C0700590,C0018681,0.865
C0700590,C0012833,0.834
C0700590,C0206160,0.761
C0700590,C0033377,0.799
C0700590,C4020887,0.859
C0700590,C0018834,0.882
C0700590,C0008489,0.861
C0700590,C0006271,0.774
C0700590,C0030486,0.708
C0700590,C1836296,0.821
C0700590,C0032617,0.762
C0700590,C0042024,0.822
C0700590,C0007758,0.861
C0700590,C0014118,0.789
C0700590,C0008031,0.861
C0700590,C2364082,0.788
C0700590,C0003126,0.777
C0700590,C0023186,0.861
C0700590,C0751265,0.787
C0700590,C0042384,0.78
C0700590,C0040034,0.805
C0700590,C0231712,0.803
C0700590,C0021368,0.833
C0700590,C0030232,0.812
C0700590,C0029089,0.826
C0700590,C0005745,0.799
C0700590,C0003123,0.824
C0700590,C0271097,0.678
C0700590,C2931205,0.678
C0700590,C1568248,0.678
C0700590,C1568249,0.733
C0700590,C0699731,0.863
C0700590,C0086132,0.825
C0700590,C0020505,0.818
C0700590,C0013491,0.862
C0700590,C0023012,0.851
C0700590,C0023015,0.846
C0700590,C0973461,0.821
C0700590,C0233565,0.828
C0700590,C0039070,0.776
C0700590,C0040822,0.864
C0700590,C0234376,0.789
C0700590,C0003578,0.823
C0700590,C3714756,0.84
C0700590,C0020796,0.803
C0700590,C0018776,0.755
C0700590,C0042571,0.834
C0700590,C0234133,0.764
C0700590,C0234132,0.758
C0700590,C0234378,0.728
C0700590,S02,0.854
C0700590,S06,0.885
C0700590,S07,0.876
C0700590,S08,0.862
C0700590,S102,0.865
C0700590,S103,0.851
C0700590,S104,0.824
C0700590,S106,0.85
C0700590,S109,0.86
C0700590,S111,0.841
C0700590,S112,0.881
C0700590,S114,0.864
C0700590,S115,0.748
C0700590,S116,0.774
C0700590,S119,0.682
C0700590,S120,0.772
C0700590,S121,0.793
C0700590,S125,0.732
C0700590,S128,0.814
C0009806,S103,0.889
C0009806,S104,0.809
C0009806,S106,0.869
C0009806,S109,0.871
C0009806,S111,0.807
C0009806,S112,0.891
C0009806,S114,0.888
C0009806,S115,0.715
C0009806,S116,0.751
C0009806,S119,0.644
C0009806,S120,0.737
C0009806,S121,0.778
C0009806,S125,0.712
C0009806,S128,0.78
C0009806,S137,0.787
C0009806,S138,0.888
C0009806,S14,0.884
C0009806,S142,0.749
C0009806,S144,0.856
C0009806,S145,0.801
C0009806,S147,0.866
C0009806,S148,0.865
C0009806,S15,0.764
C0009806,S150,0.878
C0009806,S155,0.867
C0009806,S158,0.752
C0009806,S159,0.849
C0009806,S161,0.885
C0009806,S162,0.767
C0009806,S163,0.808
C0009806,S169,0.778
C0009806,S17,0.915
C0009806,S170,0.793
C0009806,S172,0.766
C0009806,S177,0.895
C0009806,S182,0.745
C0009806,S183,0.787
C0009806,S185,0.873
C0009806,S189,0.843
C0009806,S190,0.809
C0009806,S192,0.879
C0009806,S20,0.888
C0009806,S200,0.811
C0009806,S21,0.909
C0009806,S213,0.883
C0009806,S214,0.854
C0009806,S215,0.891
C0009806,S216,0.878
C0009806,S217,0.876
C0009806,S22,0.824
C0009806,S221,0.699
C0009806,S234,0.767
C0009806,S244,0.802
C0009806,S246,0.887
C0009806,S25,0.878
C0009806,S252,0.842
C0009806,S260,0.821
C0009806,S27,0.903
C0009806,S273,0.752
C0009806,S279,0.845
C0009806,S282,0.859
C0009806,S286,0.742
C0009806,S291,0.731
C0009806,S294,0.991
C0009806,S297,0.843
C0009806,S299,0.866
C0009806,S30,0.873
C0009806,S300,0.862
C0009806,S306,0.867
C0009806,S309,0.689
C0009806,S313,0.871
C0009806,S314,0.738
C0009806,S318,0.767
C0009806,S321,0.85
C0009806,S325,0.766
C0009806,S327,0.667
C0009806,S33,0.743
C0009806,S330,0.791
C0009806,S333,0.731
C0009806,S334,0.786
C0009806,S335,0.737
C0009806,S343,0.865
C0009806,S345,0.771
C0009806,S346,0.887
C0009806,S349,0.863
C0009806,S350,0.861
C0009806,S355,0.85
C0009806,S358,0.781
C0009806,S359,0.862
C0009806,S360,0.747
C0009806,S363,0.785
C0009806,S368,0.822
C0009806,S375,0.725
C0009806,S38,0.9
C0009806,S380,0.771
C0009806,S387,0.904
C0009806,S388,0.732
C0009806,S389,0.636
C0009806,S39,0.775
C0009806,S397,0.883
C0019572,S102,0.858
C0019572,S103,0.876
C0019572,S104,0.81
C0019572,S106,0.844
C0019572,S109,0.829
C0019572,S111,0.831
C0019572,S112,0.858
C0019572,S114,0.847
C0019572,S115,0.725
C0019572,S116,0.772
C0019572,S119,0.658
C0019572,S120,0.752
C0019572,S121,0.79
C0019572,S125,0.766
C0019572,S128,0.788
C0019572,S137,0.798
C0019572,S138,0.86
C0019572,S14,0.864
C0019572,S142,0.77
C0019572,S144,0.846
C0019572,S145,0.82
C0019572,S147,1.0
C0019572,S148,0.853
C0019572,S15,0.766
C0019572,S150,0.881
C0019572,S155,0.849
C0019572,S158,0.747
C0019572,S159,0.857
C0019572,S161,0.835
C0019572,S162,0.792
C0019572,S163,0.81
C0019572,S169,0.785
C0019572,S17,0.86
C0019572,S170,0.798
C0019572,S172,0.798
C0019572,S177,0.86
C0019572,S182,0.766
C0019572,S183,0.792
C0019572,S185,0.859
C0019572,S189,0.837
C0019572,S190,0.813
C0019572,S192,0.879
C0019572,S20,0.847
C0019572,S200,0.821
C0019572,S21,0.852
C0019572,S213,0.845
C0019572,S214,0.862
C0019572,S215,0.859
C0019572,S216,0.844
C0019572,S217,0.842
C0019572,S22,0.823
C0019572,S221,0.716
C0019572,S234,0.772
C0019572,S244,0.83
C0019572,S246,0.833
C0019572,S25,0.855
C0019572,S252,0.863
C0019572,S260,0.804
C0019572,S27,0.856
C0019572,S273,0.767
C0019572,S279,0.85
C0019572,S282,0.873
C0019572,S286,0.782
C0019572,S291,0.76
C0019572,S294,0.866
C0019572,S297,0.826
C0019572,S299,0.854
C0019572,S30,0.892
C0019572,S300,0.857
C0019572,S306,0.857
C0019572,S309,0.704
C0019572,S313,0.863
C0019572,S314,0.776
C0019572,S318,0.788
C0019572,S321,0.831
C0019572,S325,0.764
C0019572,S327,0.699
C0019572,S33,0.778
C0019572,S330,0.811
C0019572,S333,0.755
C0019572,S334,0.792
C0019572,S335,0.765
C0019572,S343,0.854
C0019572,S345,0.781
C0019572,S346,0.86
C0019572,S349,0.857
C0019572,S350,0.856
C0019572,S355,0.857
C0019572,S358,0.826
C0019572,S359,0.846
C0019572,S360,0.777
C0019572,S363,0.808
C0019572,S368,0.823
C0019572,S375,0.747
C0019572,S38,0.868
C0019572,S380,0.798
C0019572,S387,0.873
C0019572,S388,0.769
C0019572,S389,0.664
C0019572,S39,0.779
C0700590,S443,0.788
C0700590,S444,0.777
C0700590,S445,0.861
C0700590,S446,0.787
C0700590,S447,0.78
C0700590,S449,0.805
C0700590,S456,0.803
C0700590,S462,0.833
C0700590,S463,0.812
C0700590,S464,0.826
C0700590,S466,0.799
C0700590,S475,0.678
C0700590,S476,0.678
C0700590,S477,0.678
C0700590,S478,0.733
C0700590,S479,0.863
C0700590,S48,0.803
C0700590,S483,0.818
C0700590,S497,0.823
C0700590,S498,0.84
C0700590,S499,0.803
C0700590,S500,0.755
C0700590,S501,0.834
C0700590,S502,0.764
C0700590,S503,0.758
C0700590,S62,0.861
C0700590,S64,0.865
C0700590,S65,0.854
C0700590,S66,0.816
C0700590,S69,0.749
C0700590,S71,0.823
C0700590,S73,0.793
C0700590,S75,0.868
C0700590,S80,0.842
C0700590,S86,0.867
C0700590,S87,0.865
C0700590,S88,0.856
C0700590,S90,0.882
C0700590,S95,0.894
C0700590,S96,0.822
C0700590,S98,0.875
C0019572,C0006625,0.853
C0019572,C0027498,0.86
C0019572,C0018777,0.881
C0019572,C0015967,0.847
C0019572,C3552463,0.849
C0019572,C0023014,0.747
C0019572,C0015672,0.855
C0019572,C0271215,0.857
C0019572,C0028754,0.835
C0019572,C0028756,0.792
C0019572,C3203358,0.81
C0019572,C0031154,0.785
C0019572,C0000737,0.853
C0019572,C0086565,0.798
C0019572,C0019214,0.798
C0019572,C0235153,0.775
C0019572,C0018784,0.86
C0019572,C0020455,0.766
C0019572,C0020438,0.792
C0019572,C0020538,0.859
C0019572,C0751837,0.837
C0019572,C0009460,0.815
C0019572,C0151825,0.841
C0019572,C0162298,0.893
C0019572,C0086437,0.879
C0019572,C0003862,0.858
C0019572,C0152031,0.778
C0019572,C0035229,0.821
C0019572,C0231835,0.682
C0019572,C0013404,0.862
C0019572,C0476273,0.857
C0019572,C1145670,0.821
C0019572,C0009421,0.791
C0019572,C0026838,0.845
C0019572,C0026846,0.862
C0019572,C0151786,0.859
C0019572,C0015644,0.8
C0019572,C0026826,0.844
C0019572,C0013421,0.842
C0019572,C0027066,0.839
C0019572,C0542476,0.831
C0019572,C0751295,0.831
C0019572,C0002622,0.825
C0019572,C0234979,0.772
C0019572,C1838869,0.83
C0019572,C0003537,0.823
C0019572,C0917816,0.833
C0019572,C0221263,0.863
C0019572,C0010200,0.808
C0019572,C0178417,0.804
C0019572,C0231807,0.813
C0019572,C0162674,0.767
C0019572,C0427055,0.85
C0019572,C0476254,0.813
C0019572,C1963137,0.873
C0019572,C0231791,0.782
C0019572,C0005779,0.76
C0019572,C0042963,0.839
C0019572,C0237326,0.866
C0006625,C0003537,0.826
C0006625,C0917816,0.835
C0006625,C0221263,0.862
C0006625,C0010200,0.807
C0006625,C0178417,0.801
C0006625,C0231807,0.818
C0006625,C0162674,0.799
C0006625,C0427055,0.857
C0006625,C0476254,0.806
C0006625,C1963137,0.881
C0006625,C0231791,0.76
C0006625,C0005779,0.764
C0006625,C0042963,0.86
C0006625,C0237326,0.866
C0006625,C0016382,0.852
C0006625,C0151908,0.865
C0006625,C0085636,0.852
C0006625,C0022346,0.8
C0006625,C0033774,0.841
C0006625,C0034150,0.835
C0006625,C0015230,0.88
C0006625,C0155320,0.675
C0006625,C0018989,0.823
C0006625,C0022116,0.859
C0006625,C0018780,0.75
C0006625,C0032285,0.834
C0006625,C0026837,0.853
C0006625,C0427190,0.772
C0006625,C0152200,0.675
C0006625,C0231528,0.854
C0006625,C0746674,0.856
C0006625,C0240735,0.815
C0006625,C3668816,0.78
C0006625,C0002418,0.792
C0006625,C0009398,0.739
C0006625,C0700078,0.862
C0006625,C0270948,0.885
C0006625,C0035078,0.857
C0006625,C1963154,0.857
C0006625,C0019825,0.79
C0006625,C0456909,0.838
C0006625,C0003635,0.871
C0006625,C0013595,0.788
C0006625,C0042798,0.86
C0006625,C0023380,0.788
C0006625,C0234144,0.809
C0006625,C0013604,0.885
C0006625,C0037315,0.857
C0006625,C0037317,0.806
C0006625,C0851578,0.8
C0006625,C0241210,0.863
C0006625,C0020305,0.73
C0006625,C0398650,0.794
C0006625,C1262477,0.875
C0006625,C0043094,0.87
C0006625,C1384666,0.878
C0006625,C1691779,0.746
C0006625,C0030193,0.881
C0006625,C0020429,0.885
C0006625,C1860844,0.848
C0006625,C0018681,0.886
C0006625,C0012833,0.81
C0006625,C0206160,0.75
C0006625,C0033377,0.8
C0006625,C4020887,0.852
C0006625,C0018834,0.862
C0006625,C0008489,0.862
C0006625,C0006271,0.814
C0006625,C0030486,0.703
C0006625,C1836296,0.795
C0006625,C0032617,0.767
C0006625,C0042024,0.814
C0006625,C0007758,0.867
C0006625,C0014118,0.812
C0006625,C0008031,0.852
C0006625,C2364082,0.791
C0006625,C0003126,0.78
C0006625,C0023186,0.863
C0006625,C0751265,0.802
C0006625,C0042384,0.806
C0006625,C0040034,0.808
C0006625,C0231712,0.825
C0006625,C0021368,0.858
C0006625,C0030232,0.787
C0006625,C0029089,0.822
C0006625,C0005745,0.8
C0006625,C0003123,0.854
C0006625,C0271097,0.675
C0006625,C2931205,0.675
C0006625,C1568248,0.675
C0006625,C1568249,0.739
C0006625,C0699731,0.857
C0006625,C0086132,0.849
C0006625,C0020505,0.817
C0006625,C0013491,0.845
C0006625,C0023012,0.863
C0006625,C0023015,0.85
C0006625,C0973461,0.834
C0006625,C0233565,0.831
C0006625,C0039070,0.754
C0033687,C1838869,0.806
C0033687,C0003537,0.831
C0033687,C0917816,0.873
C0033687,C0221263,0.829
C0033687,C0010200,0.809
C0033687,C0178417,0.794
C0033687,C0231807,0.805
C0033687,C0162674,0.773
C0033687,C0427055,0.844
C0033687,C0476254,0.804
C0033687,C1963137,0.879
C0033687,C0231791,0.739
C0033687,C0005779,0.756
C0033687,C0042963,0.872
C0033687,C0237326,0.886
C0033687,C0016382,0.85
C0033687,C0151908,0.864
C0033687,C0085636,0.869
C0033687,C0022346,0.831
C0033687,C0033774,0.847
C0033687,C0034150,0.821
C0033687,C0015230,0.892
C0033687,C0155320,0.667
C0033687,C0018989,0.825
C0033687,C0022116,0.886
C0033687,C0018780,0.747
C0033687,C0032285,0.799
C0033687,C0026837,0.847
C0033687,C0427190,0.746
C0033687,C0152200,0.659
C0033687,C0231528,0.856
C0033687,C0746674,0.851
C0033687,C0240735,0.805
C0033687,C3668816,0.755
C0033687,C0002418,0.781
C0033687,C0009398,0.744
C0033687,C0700078,0.872
C0033687,C0270948,0.892
C0033687,C0035078,0.906
C0033687,C1963154,0.905
C0033687,C0019825,0.78
C0033687,C0456909,0.848
C0033687,C0003635,0.864
C0033687,C0013595,0.772
C0033687,C0042798,0.892
C0033687,C0023380,0.8
C0033687,C0234144,0.8
C0033687,C0013604,0.897
C0033687,C0037315,0.861
C0033687,C0037317,0.795
C0033687,C0851578,0.785
C0033687,C0241210,0.864
C0033687,C0020305,0.723
C0033687,C0398650,0.788
C0033687,C1262477,0.901
C0033687,C0043094,0.888
C0033687,C1384666,0.896
C0033687,C1691779,0.743
C0033687,C0030193,0.877
C0033687,C0020429,0.883
C0033687,C1860844,0.85
C0033687,C0018681,0.866
C0033687,C0012833,0.81
C0033687,C0206160,0.757
C0033687,C0033377,0.785
C0033687,C4020887,0.869
C0033687,C0018834,0.862
C0033687,C0008489,0.888
C0033687,C0006271,0.771
C0033687,C0030486,0.693
C0033687,C1836296,0.787
C0033687,C0032617,0.77
C0033687,C0042024,0.815
C0033687,C0007758,0.878
C0033687,C0014118,0.783
C0033687,C0008031,0.854
C0033687,C2364082,0.777
C0033687,C0003126,0.763
C0033687,C0023186,0.867
C0033687,C0751265,0.765
C0033687,C0042384,0.78
C0033687,C0040034,0.806
C0033687,C0231712,0.808
C0033687,C0021368,0.838
C0033687,C0030232,0.782
C0033687,C0029089,0.824
C0033687,C0005745,0.785
C0033687,C0003123,0.827
C0033687,C0271097,0.665
C0033687,C2931205,0.665
C0033687,C1568248,0.665
C0033687,C1568249,0.725
C0033687,C0699731,0.886
C0033687,C0086132,0.849
C0033687,C0020505,0.809
C0033687,C0013491,0.863
C0033687,C0023012,0.864
C0033687,C0023015,0.852
C0033687,C0973461,0.817
C0033687,C0233565,0.821
C0019572,S397,0.853
C0019572,S398,0.851
C0019572,S404,0.861
C0019572,S408,0.762
C0019572,S410,0.803
C0019572,S411,0.857
C0019572,S418,0.847
C0019572,S42,0.823
C0019572,S420,0.764
C0019572,S422,0.705
C0019572,S428,0.846
C0019572,S430,0.702
C0019572,S431,0.701
C0019572,S437,0.768
C0019572,S44,0.851
C0019572,S443,0.805
C0019572,S444,0.792
C0019572,S445,0.848
C0019572,S446,0.798
C0019572,S447,0.771
C0019572,S449,0.823
C0019572,S456,0.82
C0019572,S462,0.824
C0019572,S463,0.786
C0019572,S464,0.83
C0019572,S466,0.803
C0019572,S475,0.696
C0019572,S476,0.696
C0019572,S477,0.696
C0019572,S478,0.76
C0019572,S479,0.847
C0019572,S48,0.808
C0019572,S483,0.823
C0019572,S497,0.817
C0019572,S498,0.826
C0019572,S499,0.812
C0019572,S500,0.773
C0019572,S501,0.809
C0019572,S502,0.781
C0019572,S503,0.762
C0019572,S62,0.839
C0019572,S64,0.857
C0019572,S65,0.825
C0019572,S66,0.815
C0019572,S69,0.759
C0019572,S71,0.803
C0019572,S73,0.819
C0019572,S75,0.86
C0019572,S80,0.819
C0019572,S86,0.866
C0019572,S87,0.855
C0019572,S88,0.828
C0019572,S90,0.877
C0019572,S95,0.858
C0019572,S96,0.811
C0019572,S98,0.855
C0006625,C0027498,0.878
C0006625,C0018777,0.843
C0006625,C0015967,0.885
C0006625,C3552463,0.85
C0006625,C0023014,0.762
C0006625,C0015672,0.872
C0006625,C0271215,0.837
C0006625,C0028754,0.847
C0006625,C0028756,0.8
C0006625,C3203358,0.794
C0006625,C0031154,0.825
C0006625,C0000737,0.869
C0006625,C0086565,0.827
C0006625,C0019214,0.797
C0006625,C0235153,0.776
C0006625,C0018784,0.857
C0006625,C0020455,0.784
C0006625,C0020438,0.781
C0006625,C0020538,0.863
C0006625,C0751837,0.847
C0006625,C0009460,0.822
C0006625,C0151825,0.853
C0006625,C0162298,0.864
C0006625,C0086437,0.851
C0006625,C0003862,0.878
C0006625,C0152031,0.798
C0006625,C0035229,0.845
C0006625,C0231835,0.66
C0006625,C0013404,0.865
C0006625,C0476273,0.815
C0006625,C1145670,0.845
C0006625,C0009421,0.803
C0006625,C0026838,0.867
C0006625,C0026846,0.877
C0006625,C0151786,0.86
C0006625,C0015644,0.789
C0006625,C0026826,0.853
C0006625,C0013421,0.858
C0006625,C0027066,0.85
C0006625,C0542476,0.836
C0006625,C0751295,0.836
C0006625,C0002622,0.837
C0006625,C0234979,0.79
C0006625,C1838869,0.824
C0700590,S137,0.811
C0700590,S138,0.874
C0700590,S14,1.0
C0700590,S142,0.772
C0700590,S144,0.852
C0700590,S145,0.818
C0700590,S147,0.864
C0700590,S148,0.869
C0700590,S15,0.762
C0700590,S150,0.851
C0700590,S155,0.853
C0700590,S158,0.75
C0700590,S159,0.845
C0700590,S161,0.847
C0700590,S162,0.801
C0700590,S163,0.816
C0700590,S169,0.803
C0700590,S17,0.886
C0700590,S170,0.823
C0700590,S172,0.806
C0700590,S177,0.86
C0700590,S182,0.785
C0700590,S183,0.777
C0700590,S185,0.862
C0700590,S189,0.846
C0700590,S190,0.819
C0700590,S192,0.859
C0700590,S20,0.881
C0700590,S200,0.818
C0700590,S21,0.88
C0700590,S213,0.865
C0700590,S214,0.861
C0700590,S215,0.874
C0700590,S216,0.859
C0700590,S217,0.85
C0700590,S22,0.829
C0700590,S221,0.73
C0700590,S234,0.78
C0700590,S244,0.817
C0700590,S246,0.845
C0700590,S25,0.863
C0700590,S252,0.835
C0700590,S260,0.816
C0700590,S27,0.881
C0700590,S273,0.783
C0700590,S279,0.856
C0700590,S282,0.849
C0700590,S286,0.759
C0700590,S291,0.773
C0700590,S294,0.886
C0700590,S297,0.856
C0700590,S299,0.867
C0700590,S30,0.869
C0700590,S300,0.859
C0700590,S306,0.869
C0700590,S309,0.69
C0700590,S313,0.871
C0700590,S314,0.754
C0700590,S318,0.798
C0700590,S321,0.849
C0700590,S325,0.774
C0700590,S327,0.684
C0700590,S33,0.789
C0700590,S330,0.806
C0700590,S333,0.765
C0700590,S334,0.783
C0700590,S335,0.752
C0700590,S343,0.855
C0700590,S345,0.796
C0700590,S346,0.871
C0700590,S349,0.858
C0700590,S350,0.857
C0700590,S355,0.846
C0700590,S358,0.785
C0700590,S359,0.861
C0700590,S360,0.785
C0700590,S363,0.799
C0700590,S368,0.831
C0700590,S375,0.735
C0700590,S38,0.878
C0700590,S380,0.794
C0700590,S387,0.863
C0700590,S388,0.752
C0700590,S389,0.634
C0700590,S39,0.797
C0700590,S397,0.864
C0700590,S398,0.875
C0700590,S404,0.866
C0700590,S408,0.761
C0700590,S410,0.799
C0700590,S411,0.859
C0700590,S418,0.861
C0700590,S42,0.833
C0700590,S420,0.774
C0700590,S422,0.708
C0700590,S428,0.861
C0700590,S430,0.707
C0700590,S431,0.72
C0700590,S437,0.789
C0700590,S44,0.865
C0023014,C0234144,0.753
C0023014,C0013604,0.75
C0023014,C0037315,0.742
C0023014,C0037317,0.771
C0023014,C0851578,0.748
C0023014,C0241210,0.766
C0023014,C0020305,0.733
C0023014,C0398650,0.737
C0023014,C1262477,0.739
C0023014,C0043094,0.744
C0023014,C1384666,0.733
C0023014,C1691779,0.758
C0023014,C0030193,0.748
C0023014,C0020429,0.753
C0023014,C1860844,0.743
C0023014,C0018681,0.779
C0023014,C0012833,0.779
C0023014,C0206160,0.722
C0023014,C0033377,0.781
C0023014,C4020887,0.741
C0023014,C0018834,0.779
C0023014,C0008489,0.733
C0023014,C0006271,0.713
C0023014,C0030486,0.721
C0023014,C1836296,0.763
C0023014,C0032617,0.729
C0023014,C0042024,0.757
C0023014,C0007758,0.745
C0023014,C0014118,0.729
C0023014,C0008031,0.756
C0023014,C2364082,0.768
C0023014,C0003126,0.771
C0023014,C0023186,0.774
C0023014,C0751265,0.763
C0023014,C0042384,0.725
C0023014,C0040034,0.751
C0023014,C0231712,0.753
C0023014,C0021368,0.735
C0023014,C0030232,0.738
C0023014,C0029089,0.756
C0023014,C0005745,0.781
C0023014,C0003123,0.752
C0023014,C0271097,0.709
C0023014,C2931205,0.709
C0023014,C1568248,0.709
C0023014,C1568249,0.73
C0023014,C0699731,0.737
C0023014,C0086132,0.735
C0023014,C0020505,0.76
C0023014,C0013491,0.753
C0023014,C0023012,0.766
C0023014,C0023015,0.795
C0023014,C0973461,0.78
C0023014,C0233565,0.772
C0023014,C0039070,0.769
C0023014,C0040822,0.759
C0023014,C0234376,0.789
C0023014,C0003578,0.764
C0023014,C3714756,0.705
C0023014,C0020796,0.752
C0023014,C0018776,0.758
C0023014,C0042571,0.779
C0023014,C0234133,0.757
C0023014,C0234132,0.77
C0023014,C0234378,0.734
C0023014,S02,0.765
C0023014,S06,0.751
C0023014,S07,0.732
C0023014,S08,0.755
C0023014,S102,0.776
C0023014,S103,0.766
C0023014,S104,0.752
C0023014,S106,0.743
C0023014,S109,0.751
C0023014,S111,0.761
C0023014,S112,0.723
C0023014,S114,0.748
C0023014,S115,0.733
C0023014,S116,0.755
C0023014,S119,0.652
C0023014,S120,0.725
C0023014,S121,0.75
C0023014,S125,0.708
C0023014,S128,0.743
C0023014,S137,0.734
C0023014,S138,0.735
C0023014,S14,0.75
C0023014,S142,0.727
C0023014,S144,0.729
C0023014,S145,0.769
C0023014,S147,0.747
C0023014,S148,0.762
C0023014,S15,0.729
C0023014,S150,0.752
C0023014,S155,0.74
C0023014,S158,1.0
C0023014,S159,0.756
C0023014,S161,0.711
C0023014,S162,0.747
C0023014,S163,0.756
C0023014,S169,0.731
C0023014,S17,0.749
C0023014,S170,0.725
C0023014,S172,0.719
C0023014,S177,0.728
C0023014,S182,0.756
C0023014,S183,0.742
C0023014,S185,0.747
C0023014,S189,0.779
C0023014,S190,0.808
C0023014,S192,0.748
C0023014,S20,0.732
C0023014,S200,0.745
C0023014,S21,0.73
C0023014,S213,0.732
C0023014,S214,0.75
C0023014,S215,0.737
C0023014,S216,0.759
C0023014,S217,0.743
C0023014,S22,0.751
C0023014,S221,0.7
C0023014,S234,0.774
C0023014,S244,0.757
C0023014,S246,0.707
C0023014,S25,0.745
C0023014,S252,0.774
C0023014,S260,0.783
C0023014,S27,0.731
C0023014,S273,0.746
C0023014,S279,0.765
C0023014,S282,0.774
C0023014,S286,0.748
C0023014,S291,0.726
C0023014,S294,0.756
C0023014,S297,0.733
C0023014,S299,0.729
C0023014,S30,0.747
C0023014,S300,0.741
C0023014,S306,0.745
C0023014,S309,0.736
C0023014,S313,0.755
C0023014,S314,0.759
C0023014,S318,0.727
C0023014,S321,0.763
C0023014,S325,0.785
C0023014,S327,0.713
C0023014,S33,0.726
C0023014,S330,0.756
C0023014,S333,0.715
C0023014,S334,0.809
C0023014,S335,0.749
C0023014,S343,0.753
C0023014,S345,0.752
C0023014,S346,0.739
C0023014,S349,0.739
C0023014,S350,0.74
C0023014,S355,0.756
C0023014,S358,0.763
C0023014,S359,0.77
C0023014,S360,0.728
C0023014,S363,0.753
C0023014,S368,0.742
C0023014,S375,0.733
C0023014,S38,0.725
C0023014,S380,0.737
C0023014,S387,0.733
C0023014,S388,0.758
C0023014,S389,0.656
C0023014,S39,0.772
C0023014,S397,0.748
C0023014,S398,0.753
C0023014,S404,0.743
C0023014,S408,0.722
C0023014,S410,0.781
C0023014,S411,0.741
C0023014,S418,0.733
C0023014,S42,0.776
C0023014,S420,0.713
C0023014,S422,0.721
C0023014,S428,0.745
C0023014,S430,0.761
C0023014,S431,0.737
C0023014,S437,0.729
C0023014,S44,0.758
C0023014,S443,0.768
C0023014,S444,0.771
C0023014,S445,0.774
C0023014,S446,0.763
C0023014,S447,0.725
C0023014,S449,0.751
C0023014,S456,0.753
C0023014,S462,0.735
C0023014,S463,0.738
C0023014,S464,0.756
C0023014,S466,0.781
C0023014,S475,0.709
C0023014,S476,0.709
C0023014,S477,0.709
C0023014,S478,0.73
C0023014,S479,0.737
C0006625,C0040822,0.861
C0006625,C0234376,0.833
C0006625,C0003578,0.813
C0006625,C3714756,0.83
C0006625,C0020796,0.823
C0006625,C0018776,0.75
C0006625,C0042571,0.81
C0006625,C0234133,0.778
C0006625,C0234132,0.767
C0006625,C0234378,0.718
C0006625,S02,0.837
C0006625,S06,0.865
C0006625,S07,0.858
C0006625,S08,0.858
C0006625,S102,0.869
C0006625,S103,0.863
C0006625,S104,0.854
C0006625,S106,0.864
C0006625,S109,0.845
C0006625,S111,0.816
C0006625,S112,0.879
C0006625,S114,0.867
C0006625,S115,0.756
C0006625,S116,0.781
C0006625,S119,0.681
C0006625,S120,0.785
C0006625,S121,0.799
C0006625,S125,0.742
C0006625,S128,0.833
C0006625,S137,0.841
C0006625,S138,0.881
C0006625,S14,0.869
C0006625,S142,0.781
C0006625,S144,0.866
C0006625,S145,0.8
C0006625,S147,0.853
C0006625,S148,1.0
C0006625,S15,0.767
C0006625,S150,0.843
C0006625,S155,0.85
C0006625,S158,0.762
C0006625,S159,0.837
C0006625,S161,0.847
C0006625,S162,0.8
C0006625,S163,0.794
C0006625,S169,0.825
C0006625,S17,0.885
C0006625,S170,0.827
C0006625,S172,0.797
C0006625,S177,0.857
C0006625,S182,0.784
C0006625,S183,0.781
C0006625,S185,0.863
C0006625,S189,0.847
C0006625,S190,0.821
C0006625,S192,0.851
C0006625,S20,0.884
C0006625,S200,0.845
C0006625,S21,0.87
C0006625,S213,0.867
C0006625,S214,0.877
C0006625,S215,0.86
C0006625,S216,0.853
C0006625,S217,0.858
C0006625,S22,0.821
C0006625,S221,0.725
C0006625,S234,0.79
C0006625,S244,0.824
C0006625,S246,0.835
C0006625,S25,0.886
C0006625,S252,0.862
C0006625,S260,0.801
C0006625,S27,0.872
C0006625,S273,0.799
C0006625,S279,0.857
C0006625,S282,0.881
C0006625,S286,0.76
C0006625,S291,0.764
C0006625,S294,0.866
C0006625,S297,0.852
C0006625,S299,0.865
C0006625,S30,0.882
C0006625,S300,0.852
C0006625,S306,0.88
C0006625,S309,0.675
C0006625,S313,0.859
C0006625,S314,0.75
